uri,concurrency,requests,qps,tpr,t_90
/param/200?param=no-optimize,500,30000,24340.95,20.542,4
/param/200?param=no-optimize,500,30000,24282.2,20.591,4
/param/200?param=no-optimize,500,30000,26222.4,19.068,4
/param/200?param=no-optimize,500,30000,28024.18,17.842,4
/param/200?param=no-optimize,500,30000,25244.92,19.806,4
/param/200?param=no-optimize,500,30000,28237.71,17.707,4
/param/200?param=no-optimize,500,30000,24198.64,20.662,4
/param/200?param=no-optimize,500,30000,24262.95,20.608,4
/param/200?param=no-optimize,500,30000,25721.05,19.439,4
/param/200?param=no-optimize,500,30000,24985.82,20.011,4
/param/200?param=no-optimize,500,30000,24470.18,20.433,4
/param/200?param=no-optimize,500,30000,27902.43,17.92,4
/param/200?param=no-optimize,500,30000,21106.35,23.69,4
/param/200?param=no-optimize,500,30000,26445.26,18.907,4
/param/200?param=no-optimize,500,30000,29424.11,16.993,5
uri,concurrency,requests,qps,tpr,t_90
/param/300?param=no-optimize,500,30000,6981.19,71.621,21
/param/300?param=no-optimize,500,30000,13983.84,35.756,8
/param/300?param=no-optimize,500,30000,23900.33,20.92,4
/param/300?param=no-optimize,500,30000,24333.35,20.548,4
/param/300?param=no-optimize,500,30000,26219.19,19.07,4
/param/300?param=no-optimize,500,30000,23987.72,20.844,4
/param/300?param=no-optimize,500,30000,27190.14,18.389,4
/param/300?param=no-optimize,500,30000,28496.14,17.546,4
/param/300?param=no-optimize,500,30000,26341.39,18.982,4
/param/300?param=no-optimize,500,30000,24079.11,20.765,4
/param/300?param=no-optimize,500,30000,27414.94,18.238,3
/param/300?param=no-optimize,500,30000,29664.93,16.855,4
/param/300?param=no-optimize,500,30000,30990.36,16.134,4
/param/300?param=no-optimize,500,30000,30095.16,16.614,3
/param/300?param=no-optimize,500,30000,26188.66,19.092,4
/param/300?param=no-optimize,500,30000,24070.38,20.772,4
/param/300?param=no-optimize,500,30000,25519.97,19.593,4
/param/300?param=no-optimize,500,30000,26034.43,19.205,4
/param/300?param=no-optimize,500,30000,21122.83,23.671,3
/param/300?param=no-optimize,500,30000,26899.41,18.588,4
uri,concurrency,requests,qps,tpr,t_90
/param/400?param=no-optimize,500,30000,6967.36,71.763,28
/param/400?param=no-optimize,500,30000,12705.77,39.352,8
/param/400?param=no-optimize,500,30000,19324.46,25.874,5
/param/400?param=no-optimize,500,30000,23032.06,21.709,4
/param/400?param=no-optimize,500,30000,27903.24,17.919,4
/param/400?param=no-optimize,500,30000,24098.07,20.749,5
/param/400?param=no-optimize,500,30000,23710.95,21.087,4
/param/400?param=no-optimize,500,30000,20955.03,23.861,4
/param/400?param=no-optimize,500,30000,23931.69,20.893,4
/param/400?param=no-optimize,500,30000,20799.98,24.038,4
/param/400?param=no-optimize,500,30000,23962.06,20.866,4
/param/400?param=no-optimize,500,30000,26571.03,18.817,4
/param/400?param=no-optimize,500,30000,24446.63,20.453,4
/param/400?param=no-optimize,500,30000,24412.1,20.482,4
/param/400?param=no-optimize,500,30000,26914.4,18.577,4
/param/400?param=no-optimize,500,30000,25115.68,19.908,4
/param/400?param=no-optimize,500,30000,23899.53,20.921,4
/param/400?param=no-optimize,500,30000,24383.64,20.506,4
/param/400?param=no-optimize,500,30000,24968.56,20.025,4
/param/400?param=no-optimize,500,30000,24190.9,20.669,4
uri,concurrency,requests,qps,tpr,t_90
/param/500?param=no-optimize,500,30000,7723.56,64.737,44
/param/500?param=no-optimize,500,30000,11229.92,44.524,8
/param/500?param=no-optimize,500,30000,21103.16,23.693,4
/param/500?param=no-optimize,500,30000,26868.91,18.609,4
/param/500?param=no-optimize,500,30000,24371.78,20.516,4
/param/500?param=no-optimize,500,30000,23945.1,20.881,4
/param/500?param=no-optimize,500,30000,24930.55,20.056,4
/param/500?param=no-optimize,500,30000,21131.91,23.661,4
/param/500?param=no-optimize,500,30000,23417.92,21.351,4
/param/500?param=no-optimize,500,30000,23880.54,20.938,4
/param/500?param=no-optimize,500,30000,26475.43,18.885,4
